00:04 glukoz          : r
01:02 laykTR          : Redex_555
01:02 laykTR          : aralıksız 1 saattir etrafı dolaşıyom
01:02 laykTR          : nether yumrusu 27 tane çıktı
13:29 laykTR    : BOZ_AYI
13:29 laykTR    : satim sana
13:29 laykTR    : botu
13:29 BOZ_AYI   : no
13:31 BOZ_AYI   : hi
13:31 ProJaguar : hi
13:32 laykTR    : hi
13:32 Redex_555 : Hello
13:32 ProJaguar : so is nthis a normal server
13:32 Redex_555 : Kinda
13:32 laykTR    : no
13:32 BOZ_AYI   : yes it is not
13:32 laykTR    : sky pvp
13:32 .GgorkemYilmaz52: elytrayi nerden satioz
13:33 BOZ_AYI         : you can jump down from sides
13:33 BOZ_AYI         : to go pvp zones and farm items
13:33 ProJaguar       : what can i do
13:33 BOZ_AYI         : come with me
13:33 .GgorkemYilmaz52: ses gein reddx
13:33 Redex_555       : Yok bekle
13:33 .GgorkemYilmaz52: k
13:34 ProJaguar       : oops
13:34 ProJaguar       : what do i do
13:35 Redex_555       : you just grind
13:35 Redex_555       : XD
13:35 BOZ_AYI         : yo ucan collect gold to buy from shops
13:35 ProJaguar       : noice
13:35 BOZ_AYI         : then with you items you can bully others
13:35 ProJaguar       : where are the shops
13:35 BOZ_AYI         : in spawn
13:35 ProJaguar       : lol
13:35 BOZ_AYI         : ./spawn
13:35 Redex_555       : and in some island
13:35 Redex_555       : *islands
13:36 ProJaguar       : im out of gold
13:37 Redex_555       : you can grind it from chests and mine
13:37 BOZ_AYI         : hi
13:37 .heroGAMING0806 : yo
13:38 BOZ_AYI         : you can jump from sides to go pvp zones
13:38 BOZ_AYI         : and farm items
13:40 BOZ_AYI         : you can farm kills you you can be at the top kills list
13:40 Redex_555       : /msg laykTR DAHA YENİ GELDİ 
13:40 laykTR          : top
13:41 laykTR          : top
13:43 ProJaguar       : im so good at pvp
13:45 ProJaguar       : boz
13:48 ProJaguar       : will you help me with the evoker boss
13:48 Redex_555       : in a min
13:51 ProJaguar       : um the nether isnt working
13:51 Redex_555       : yea
13:51 Redex_555       : we need to do that
13:51 ProJaguar       : i mean the temproray one
13:52 BOZ_AYI         : .GgorkemYilmaz52 iban atsana
13:52 BOZ_AYI         : dm den
13:52 BOZ_AYI         : boşver olmuyomuş
13:52 .GgorkemYilmaz52: 2 tane benden var lan
13:52 BOZ_AYI         : blmm
13:52 .GgorkemYilmaz52: itemlerim silinmiş
14:11 laykTR    : sa
14:11 laykTR    : sa
14:12 laykTR    : yemek versene
14:12 laykTR    : BOZ_AYI
14:32 laykTR    : hg
15:13 NotUwas   : sa
15:17 NotUwas   : evet
15:17 NotUwas   : no mic
15:29 BOZ_AYI   : Reisler sunucuyu yeni yere geçiriyom
15:29 NotUwas   : sesteyim
15:29 BOZ_AYI   : yeni ip için dmlerime kayın
